doy,p10,p25,p50,p75,p90,n
111,0.5188,0.5188,0.5188,0.5188,0.5188,1
112,0.5153,0.5153,0.5153,0.5153,0.5153,1
113,0.5116,0.5116,0.5116,0.5116,0.5116,1
114,0.5080,0.5080,0.5080,0.5080,0.5080,1
115,0.5043,0.5043,0.5043,0.5043,0.5043,1
116,0.5006,0.5006,0.5006,0.5006,0.5006,1
117,0.4969,0.4969,0.4969,0.4969,0.4969,1
118,0.4932,0.4932,0.4932,0.4932,0.4932,1
119,0.4895,0.4895,0.4895,0.4895,0.4895,1
120,0.4859,0.4859,0.4859,0.4859,0.4859,1
121,0.4822,0.4822,0.4822,0.4822,0.4822,1
122,0.4785,0.4785,0.4785,0.4785,0.4785,1
123,0.4748,0.4748,0.4748,0.4748,0.4748,1
124,0.4711,0.4711,0.4711,0.4711,0.4711,1
125,0.4675,0.4675,0.4675,0.4675,0.4675,1
126,0.4638,0.4638,0.4638,0.4638,0.4638,1
127,0.4601,0.4601,0.4601,0.4601,0.4601,1
128,0.4564,0.4564,0.4564,0.4564,0.4564,1
129,0.4527,0.4527,0.4527,0.4527,0.4527,1
130,0.4490,0.4490,0.4490,0.4490,0.4490,1
131,0.4457,0.4457,0.4457,0.4457,0.4457,1
132,0.4427,0.4427,0.4427,0.4427,0.4427,1
133,0.4401,0.4401,0.4401,0.4401,0.4401,1
134,0.4379,0.4379,0.4379,0.4379,0.4379,1
135,0.4359,0.4359,0.4359,0.4359,0.4359,1
136,0.4344,0.4344,0.4344,0.4344,0.4344,1
137,0.4332,0.4332,0.4332,0.4332,0.4332,1
138,0.4323,0.4323,0.4323,0.4323,0.4323,1
139,0.4318,0.4318,0.4318,0.4318,0.4318,1
140,0.4317,0.4317,0.4317,0.4317,0.4317,1
141,0.4319,0.4319,0.4319,0.4319,0.4319,1
142,0.4324,0.4324,0.4324,0.4324,0.4324,1
143,0.4334,0.4334,0.4334,0.4334,0.4334,1
144,0.4346,0.4346,0.4346,0.4346,0.4346,1
145,0.4362,0.4362,0.4362,0.4362,0.4362,1
146,0.4379,0.4379,0.4379,0.4379,0.4379,1
147,0.4395,0.4395,0.4395,0.4395,0.4395,1
148,0.4411,0.4411,0.4411,0.4411,0.4411,1
149,0.4427,0.4427,0.4427,0.4427,0.4427,1
150,0.4444,0.4444,0.4444,0.4444,0.4444,1
151,0.4460,0.4460,0.4460,0.4460,0.4460,1
152,0.4476,0.4476,0.4476,0.4476,0.4476,1
153,0.4492,0.4492,0.4492,0.4492,0.4492,1
154,0.4508,0.4508,0.4508,0.4508,0.4508,1
155,0.4525,0.4525,0.4525,0.4525,0.4525,1
156,0.4541,0.4541,0.4541,0.4541,0.4541,1
157,0.4557,0.4557,0.4557,0.4557,0.4557,1
158,0.4573,0.4573,0.4573,0.4573,0.4573,1
159,0.4589,0.4589,0.4589,0.4589,0.4589,1
160,0.4606,0.4606,0.4606,0.4606,0.4606,1
161,0.4622,0.4622,0.4622,0.4622,0.4622,1
162,0.4638,0.4638,0.4638,0.4638,0.4638,1
163,0.4655,0.4655,0.4655,0.4655,0.4655,1
164,0.4674,0.4674,0.4674,0.4674,0.4674,1
165,0.4694,0.4694,0.4694,0.4694,0.4694,1
166,0.4715,0.4715,0.4715,0.4715,0.4715,1
167,0.4737,0.4737,0.4737,0.4737,0.4737,1
168,0.4760,0.4760,0.4760,0.4760,0.4760,1
169,0.4784,0.4784,0.4784,0.4784,0.4784,1
170,0.4810,0.4810,0.4810,0.4810,0.4810,1
171,0.4836,0.4836,0.4836,0.4836,0.4836,1
172,0.4864,0.4864,0.4864,0.4864,0.4864,1
173,0.4893,0.4893,0.4893,0.4893,0.4893,1
174,0.4923,0.4923,0.4923,0.4923,0.4923,1
175,0.4955,0.4955,0.4955,0.4955,0.4955,1
176,0.4987,0.4987,0.4987,0.4987,0.4987,1
177,0.5021,0.5021,0.5021,0.5021,0.5021,1
178,0.5055,0.5055,0.5055,0.5055,0.5055,1
179,0.5089,0.5089,0.5089,0.5089,0.5089,1
180,0.5122,0.5122,0.5122,0.5122,0.5122,1
181,0.5156,0.5156,0.5156,0.5156,0.5156,1
182,0.5191,0.5191,0.5191,0.5191,0.5191,1
183,0.5225,0.5225,0.5225,0.5225,0.5225,1
184,0.5259,0.5259,0.5259,0.5259,0.5259,1
185,0.5293,0.5293,0.5293,0.5293,0.5293,1
186,0.5328,0.5328,0.5328,0.5328,0.5328,1
187,0.5363,0.5363,0.5363,0.5363,0.5363,1
188,0.5397,0.5397,0.5397,0.5397,0.5397,1
189,0.5432,0.5432,0.5432,0.5432,0.5432,1
190,0.5467,0.5467,0.5467,0.5467,0.5467,1
191,0.5502,0.5502,0.5502,0.5502,0.5502,1
192,0.5537,0.5537,0.5537,0.5537,0.5537,1
193,0.5573,0.5573,0.5573,0.5573,0.5573,1
194,0.5608,0.5608,0.5608,0.5608,0.5608,1
195,0.5643,0.5643,0.5643,0.5643,0.5643,1
196,0.5679,0.5679,0.5679,0.5679,0.5679,1
197,0.5716,0.5716,0.5716,0.5716,0.5716,1
198,0.5752,0.5752,0.5752,0.5752,0.5752,1
199,0.5789,0.5789,0.5789,0.5789,0.5789,1
200,0.5826,0.5826,0.5826,0.5826,0.5826,1
201,0.5863,0.5863,0.5863,0.5863,0.5863,1
202,0.5901,0.5901,0.5901,0.5901,0.5901,1
203,0.5939,0.5939,0.5939,0.5939,0.5939,1
204,0.5978,0.5978,0.5978,0.5978,0.5978,1
205,0.6016,0.6016,0.6016,0.6016,0.6016,1
206,0.6055,0.6055,0.6055,0.6055,0.6055,1
207,0.6095,0.6095,0.6095,0.6095,0.6095,1
208,0.6134,0.6134,0.6134,0.6134,0.6134,1
209,0.6174,0.6174,0.6174,0.6174,0.6174,1
210,0.6214,0.6214,0.6214,0.6214,0.6214,1
211,0.6251,0.6251,0.6251,0.6251,0.6251,1
212,0.6284,0.6284,0.6284,0.6284,0.6284,1
213,0.6313,0.6313,0.6313,0.6313,0.6313,1
214,0.6339,0.6339,0.6339,0.6339,0.6339,1
215,0.6362,0.6362,0.6362,0.6362,0.6362,1
216,0.6382,0.6382,0.6382,0.6382,0.6382,1
217,0.6397,0.6397,0.6397,0.6397,0.6397,1
218,0.6410,0.6410,0.6410,0.6410,0.6410,1
219,0.6419,0.6419,0.6419,0.6419,0.6419,1
220,0.6424,0.6424,0.6424,0.6424,0.6424,1
221,0.6426,0.6426,0.6426,0.6426,0.6426,1
222,0.6425,0.6425,0.6425,0.6425,0.6425,1
223,0.6420,0.6420,0.6420,0.6420,0.6420,1
224,0.6412,0.6412,0.6412,0.6412,0.6412,1
225,0.6400,0.6400,0.6400,0.6400,0.6400,1
226,0.6388,0.6388,0.6388,0.6388,0.6388,1
227,0.6376,0.6376,0.6376,0.6376,0.6376,1
228,0.6362,0.6362,0.6362,0.6362,0.6362,1
229,0.6347,0.6347,0.6347,0.6347,0.6347,1
230,0.6332,0.6332,0.6332,0.6332,0.6332,1
231,0.6315,0.6315,0.6315,0.6315,0.6315,1
232,0.6298,0.6298,0.6298,0.6298,0.6298,1
233,0.6279,0.6279,0.6279,0.6279,0.6279,1
234,0.6260,0.6260,0.6260,0.6260,0.6260,1
235,0.6240,0.6240,0.6240,0.6240,0.6240,1
236,0.6219,0.6219,0.6219,0.6219,0.6219,1
237,0.6196,0.6196,0.6196,0.6196,0.6196,1
238,0.6173,0.6173,0.6173,0.6173,0.6173,1
239,0.6149,0.6149,0.6149,0.6149,0.6149,1
240,0.6124,0.6124,0.6124,0.6124,0.6124,1
241,0.6098,0.6098,0.6098,0.6098,0.6098,1
242,0.6072,0.6072,0.6072,0.6072,0.6072,1
243,0.6043,0.6043,0.6043,0.6043,0.6043,1
244,0.6012,0.6012,0.6012,0.6012,0.6012,1
245,0.5978,0.5978,0.5978,0.5978,0.5978,1
246,0.5941,0.5941,0.5941,0.5941,0.5941,1
247,0.5902,0.5902,0.5902,0.5902,0.5902,1
