date,event_type,reason
2019-02-06,composite,drought + cold_stress
2019-02-11,composite,drought + cold_stress
2019-03-28,drought,NDMI=0.175/MSI=0.750; precip_7d=1.8
2019-04-05,nutrient_or_pest,"NDRE=0.337, GNDVI=0.430, NDMI=0.229"
2019-04-07,drought,NDMI=0.175/MSI=0.748; precip_7d=11.8
2019-08-03,nutrient_or_pest,"NDRE=0.370, GNDVI=0.410, NDMI=0.272"
2019-08-23,nutrient_or_pest,"NDRE=0.406, GNDVI=0.494, NDMI=0.256"
2019-09-22,drought,NDMI=0.123/MSI=0.809; precip_7d=7.0
2019-09-27,drought,NDMI=0.091/MSI=0.859; precip_7d=8.4
2020-02-09,nutrient_or_pest,"NDRE=0.360, GNDVI=0.465, NDMI=0.203"
2020-02-11,drought,NDMI=0.180/MSI=0.731; precip_7d=11.7
2020-02-16,composite,drought + cold_stress
2020-02-19,composite,cold_stress + nutrient_or_pest
2020-02-21,composite,drought + cold_stress
2020-02-29,drought,NDMI=0.166/MSI=0.764; precip_7d=3.7
2020-03-20,drought,NDMI=0.178/MSI=0.747; precip_7d=1.4
2020-03-25,drought,NDMI=0.192/MSI=0.704; precip_7d=2.6
2020-04-24,nutrient_or_pest,"NDRE=0.228, GNDVI=0.320, NDMI=0.202"
2020-04-26,drought,NDMI=0.130/MSI=0.791; precip_7d=0.9
2020-05-01,drought,NDMI=0.088/MSI=0.841; precip_7d=0.0
2020-05-04,drought,NDMI=0.034/MSI=0.957; precip_7d=0.1
2020-05-19,drought,NDMI=0.069/MSI=0.893; precip_7d=10.3
2020-05-31,drought,NDMI=0.099/MSI=0.842; precip_7d=10.5
2020-07-08,nutrient_or_pest,"NDRE=0.383, GNDVI=0.421, NDMI=0.219"
2020-11-07,drought,NDMI=0.026/MSI=0.990; precip_7d=3.0
2020-12-20,composite,drought + cold_stress
2021-01-14,composite,drought + cold_stress
2021-02-20,drought,NDMI=0.145/MSI=0.787; precip_7d=7.4
2021-03-27,drought,NDMI=0.183/MSI=0.722; precip_7d=4.2
2021-05-31,drought,NDMI=0.108/MSI=0.835; precip_7d=5.9
2021-06-10,drought,NDMI=0.147/MSI=0.758; precip_7d=11.6
2021-07-13,nutrient_or_pest,"NDRE=0.362, GNDVI=0.348, NDMI=0.284"
2021-07-23,nutrient_or_pest,"NDRE=0.282, GNDVI=0.306, NDMI=0.253"
2021-08-04,drought,NDMI=0.174/MSI=0.740; precip_7d=0.2
2021-11-17,drought,NDMI=0.090/MSI=0.861; precip_7d=0.0
2022-01-31,composite,drought + cold_stress
2022-02-13,composite,drought + cold_stress
2022-02-15,composite,drought + cold_stress
2022-02-23,composite,cold_stress + nutrient_or_pest
2022-03-05,drought,NDMI=0.180/MSI=0.719; precip_7d=0.9
2022-03-07,drought,NDMI=0.169/MSI=0.750; precip_7d=4.4
2022-03-10,drought,NDMI=0.176/MSI=0.734; precip_7d=4.3
2022-03-12,drought,NDMI=0.131/MSI=0.822; precip_7d=4.4
2022-03-15,drought,NDMI=0.187/MSI=0.718; precip_7d=6.0
2022-03-17,drought,NDMI=0.184/MSI=0.724; precip_7d=11.9
2022-04-19,nutrient_or_pest,"NDRE=0.242, GNDVI=0.300, NDMI=0.278"
2022-05-09,nutrient_or_pest,"NDRE=0.245, GNDVI=0.370, NDMI=0.210"
2022-07-10,drought,NDMI=0.173/MSI=0.718; precip_7d=0.8
2022-07-23,nutrient_or_pest,"NDRE=0.394, GNDVI=0.471, NDMI=0.238"
2022-08-22,drought,NDMI=0.155/MSI=0.743; precip_7d=0.0
2022-08-24,composite,drought + heat_stress
2022-09-06,drought,NDMI=0.182/MSI=0.702; precip_7d=9.5
2022-10-16,drought,NDMI=0.070/MSI=0.906; precip_7d=1.7
2022-10-21,drought,NDMI=0.043/MSI=0.958; precip_7d=0.0
2022-10-23,drought,NDMI=0.048/MSI=0.942; precip_7d=0.0
2022-10-31,drought,NDMI=0.069/MSI=0.892; precip_7d=12.1
2022-12-22,composite,drought + cold_stress
2023-01-06,drought,NDMI=0.135/MSI=0.790; precip_7d=2.7
2023-01-29,composite,drought + cold_stress
2023-01-31,composite,drought + cold_stress
2023-04-04,nutrient_or_pest,"NDRE=0.340, GNDVI=0.431, NDMI=0.205"
2023-04-06,nutrient_or_pest,"NDRE=0.300, GNDVI=0.413, NDMI=0.209"
2023-04-09,nutrient_or_pest,"NDRE=0.331, GNDVI=0.450, NDMI=0.204"
2023-04-11,drought,NDMI=0.186/MSI=0.718; precip_7d=13.7
2023-05-16,drought,NDMI=0.076/MSI=0.906; precip_7d=2.7
2023-06-18,drought,NDMI=0.143/MSI=0.767; precip_7d=5.7
2023-06-23,drought,NDMI=0.175/MSI=0.724; precip_7d=6.6
2023-07-08,drought,NDMI=0.195/MSI=0.701; precip_7d=10.1
2023-07-10,drought,NDMI=0.183/MSI=0.716; precip_7d=2.6
2023-08-22,nutrient_or_pest,"NDRE=0.294, GNDVI=0.331, NDMI=0.262"
2023-09-21,drought,NDMI=0.109/MSI=0.848; precip_7d=12.3
2023-10-21,drought,NDMI=0.084/MSI=0.880; precip_7d=8.5
2023-10-28,drought,NDMI=0.093/MSI=0.866; precip_7d=4.0
2023-11-05,drought,NDMI=0.050/MSI=0.949; precip_7d=8.0
2023-11-07,drought,NDMI=0.048/MSI=0.950; precip_7d=6.7
2024-02-10,composite,cold_stress + nutrient_or_pest
2024-02-13,composite,cold_stress + nutrient_or_pest
2024-02-15,drought,NDMI=0.190/MSI=0.735; precip_7d=1.2
2024-02-18,composite,cold_stress + nutrient_or_pest
2024-03-14,drought,NDMI=0.186/MSI=0.719; precip_7d=7.7
2024-03-21,nutrient_or_pest,"NDRE=0.371, GNDVI=0.499, NDMI=0.207"
2024-04-10,nutrient_or_pest,"NDRE=0.292, GNDVI=0.359, NDMI=0.234"
2024-04-13,nutrient_or_pest,"NDRE=0.348, GNDVI=0.440, NDMI=0.241"
2024-04-15,nutrient_or_pest,"NDRE=0.358, GNDVI=0.480, NDMI=0.241"
2024-05-20,drought,NDMI=0.095/MSI=0.862; precip_7d=5.6
2024-05-23,drought,NDMI=0.127/MSI=0.790; precip_7d=4.5
2024-05-25,drought,NDMI=0.129/MSI=0.832; precip_7d=6.3
2024-08-03,nutrient_or_pest,"NDRE=0.376, GNDVI=0.439, NDMI=0.214"
2024-08-18,nutrient_or_pest,"NDRE=0.376, GNDVI=0.482, NDMI=0.292"
2024-08-23,nutrient_or_pest,"NDRE=0.317, GNDVI=0.350, NDMI=0.235"
2024-09-22,drought,NDMI=0.077/MSI=0.891; precip_7d=13.0
2024-10-15,drought,NDMI=0.117/MSI=0.815; precip_7d=6.5
2024-10-27,drought,NDMI=0.070/MSI=0.907; precip_7d=6.9
2024-12-01,drought,NDMI=0.131/MSI=0.791; precip_7d=0.9
2024-12-14,drought,NDMI=0.192/MSI=0.697; precip_7d=5.4
2024-12-16,drought,NDMI=0.169/MSI=0.735; precip_7d=0.5
2024-12-16,drought,NDMI=0.172/MSI=0.731; precip_7d=0.4
2024-12-26,composite,drought + cold_stress
2024-12-31,drought,NDMI=0.160/MSI=0.759; precip_7d=1.1
2025-01-20,composite,drought + cold_stress
2025-02-17,composite,cold_stress + nutrient_or_pest
2025-04-07,nutrient_or_pest,"NDRE=0.370, GNDVI=0.482, NDMI=0.243"
2025-04-10,nutrient_or_pest,"NDRE=0.374, GNDVI=0.497, NDMI=0.225"
2025-04-27,nutrient_or_pest,"NDRE=0.343, GNDVI=0.480, NDMI=0.208"
2025-05-05,nutrient_or_pest,"NDRE=0.295, GNDVI=0.498, NDMI=0.213"
2025-05-13,drought,NDMI=0.127/MSI=0.800; precip_7d=10.5
2025-05-20,drought,NDMI=0.062/MSI=0.920; precip_7d=0.4
2025-05-20,drought,NDMI=0.074/MSI=0.895; precip_7d=0.4
2025-05-25,drought,NDMI=0.096/MSI=0.874; precip_7d=1.6
2025-06-04,drought,NDMI=0.121/MSI=0.811; precip_7d=9.4
2025-06-12,drought,NDMI=0.137/MSI=0.785; precip_7d=2.1
2025-08-03,drought,NDMI=0.171/MSI=0.733; precip_7d=4.4
