date,ndvi_mean,ndmi_mean,ndre_mean,evi_mean,gndvi_mean,msi_mean
2021-01-19,0.0370,0.2590,0.0196,-0.0994,-0.0342,0.5903
2021-01-21,0.2534,0.1515,0.1581,-1.6380,0.2019,0.7438
2021-01-31,0.3923,0.1100,0.2521,2.8737,0.3488,0.8299
2021-02-03,0.1656,0.2006,0.1386,-0.7021,0.1008,0.6734
2021-02-05,0.3939,0.1218,0.2562,2.5966,0.3531,0.8126
2021-02-10,0.3173,0.1488,0.2231,-5.6255,0.2599,0.7614
2021-02-18,0.4075,0.2437,0.2725,0.7023,0.3327,0.6416
2021-02-20,0.4410,0.1455,0.2961,3.6995,0.3846,0.7869
2021-02-23,0.3492,0.2003,0.2568,-4.9417,0.2704,0.6899
2021-03-05,0.3402,0.2115,0.2336,-1.9307,0.2679,0.6722
2021-03-12,,,,,,
2021-03-15,0.4446,0.1963,0.3071,4.1878,0.3767,0.7002
2021-03-27,0.4860,0.1827,0.3190,1.9297,0.4345,0.7224
2021-03-30,0.3061,0.1796,0.2169,-2.0612,0.2493,0.7099
2021-04-16,,,,,,
2021-04-21,0.3977,0.1761,0.2517,2.4515,0.3121,0.7282
2021-04-26,0.1802,0.1293,0.1045,-0.9996,0.1130,0.7848
2021-04-29,0.5222,0.1605,0.3202,1.6104,0.4739,0.7533
2021-05-01,,,,,,
2021-05-09,0.2533,0.1255,0.1331,0.6890,0.1965,0.7821
2021-05-11,0.4060,0.0487,0.2498,1.8716,0.3850,0.9304
2021-05-24,0.4234,0.1312,0.2678,2.2176,0.3742,0.7889
2021-05-31,0.4510,0.1076,0.2669,1.9256,0.3991,0.8350
2021-06-10,0.4301,0.1474,0.2788,3.7758,0.3548,0.7583
2021-06-28,0.4038,0.1773,0.2896,-0.8885,0.3033,0.7137
2021-07-03,0.5760,0.1787,0.4162,2.9327,0.5128,0.7149
2021-07-13,0.4604,0.2843,0.3616,-4.7602,0.3480,0.5831
2021-07-18,0.6567,0.2155,0.4599,2.2836,0.5806,0.6825
2021-07-23,0.3965,0.2529,0.2818,1.3467,0.3058,0.6191
2021-07-25,0.4482,0.1813,0.3245,2.2778,0.3681,0.7174
2021-07-28,0.6508,0.2126,0.4630,2.0756,0.5861,0.6859
2021-07-30,0.6109,0.1978,0.4398,2.7191,0.5433,0.6991
2021-08-02,0.6432,0.2266,0.4635,2.1672,0.5829,0.6713
2021-08-04,0.5636,0.1738,0.3846,2.6255,0.4976,0.7401
2021-08-09,0.5821,0.1754,0.3955,2.3502,0.5128,0.7304
2021-08-19,0.4849,0.1916,0.3325,2.5129,0.3936,0.6972
2021-08-24,0.1885,0.0895,0.1103,-1.0993,0.1388,0.8380
2021-08-27,0.4390,0.2183,0.2949,1.3942,0.3570,0.6650
2021-08-29,0.1389,0.0938,0.0616,-0.8813,0.1070,0.8291
2021-09-21,0.5247,0.1060,0.3216,2.0766,0.4765,0.8453
2021-09-28,0.5176,0.0854,0.3119,1.9281,0.4741,0.8764
2021-10-01,0.1108,0.0657,0.0496,-0.4349,0.0616,0.8814
2021-10-21,,,,,,
2021-11-05,0.1674,0.1297,0.0994,-0.9477,0.0992,0.7863
2021-11-10,0.4078,0.0942,0.2571,2.9981,0.3522,0.8539
2021-11-17,0.4300,0.0899,0.2557,2.6979,0.3683,0.8612
2021-11-25,0.1785,0.0699,0.1025,-1.6845,0.1320,0.8725
2021-12-02,0.3269,0.1418,0.2030,-3.4194,0.2504,0.7624
2021-12-05,0.2447,0.1722,0.1576,-1.6728,0.1542,0.7165
2021-12-12,0.4810,0.1458,0.2903,3.2982,0.3937,0.7739
2021-12-20,0.3799,0.1686,0.2556,-0.1299,0.2961,0.7304
2021-12-30,0.0384,0.0868,0.0216,-0.1334,0.0066,0.8419
2022-01-01,0.3837,0.1637,0.2430,1.5710,0.3003,0.7379
2022-01-16,0.3271,0.1913,0.2238,-4.7455,0.2489,0.6944
2022-01-29,0.4950,0.2177,0.3340,3.0885,0.4250,0.6761
2022-01-31,0.4614,0.1896,0.2928,2.2906,0.4096,0.7166
2022-02-13,0.4402,0.1934,0.2942,2.8711,0.3808,0.7057
2022-02-15,0.4616,0.1663,0.3008,3.4036,0.3991,0.7471
2022-02-23,0.2167,0.2133,0.1414,0.3823,0.1555,0.6672
2022-03-05,0.3959,0.1800,0.2663,4.0960,0.3389,0.7190
2022-03-07,0.4988,0.1693,0.3318,2.4957,0.4539,0.7496
2022-03-10,0.4485,0.1763,0.3026,3.3260,0.3993,0.7342
2022-03-12,0.5373,0.1313,0.3206,1.0680,0.5303,0.8221
2022-03-15,0.4724,0.1867,0.3172,1.9979,0.4302,0.7180
2022-03-17,0.4906,0.1841,0.3245,2.2034,0.4408,0.7240
2022-03-25,-0.0527,0.2534,-0.0701,0.0848,-0.1093,0.5961
2022-04-09,0.5335,0.2124,0.3506,2.9312,0.4610,0.6810
2022-04-11,0.4640,0.1943,0.3001,3.0781,0.3953,0.6974
2022-04-19,0.3650,0.2777,0.2425,0.4413,0.3001,0.5748
2022-04-21,0.5297,0.1776,0.3167,1.6584,0.4738,0.7292
2022-04-24,0.0005,0.2035,-0.0278,0.0066,-0.0535,0.6735
2022-04-26,0.5059,0.1519,0.3004,1.7401,0.4595,0.7643
2022-04-29,0.3454,0.1755,0.2151,1.8521,0.3062,0.7152
2022-05-04,0.3901,0.1651,0.2485,1.8729,0.3709,0.7314
2022-05-06,0.3572,0.1077,0.2229,1.3766,0.3419,0.8208
2022-05-09,0.3860,0.2096,0.2446,1.9375,0.3696,0.6661
2022-05-16,0.4595,0.1463,0.2763,1.5401,0.4299,0.7914
2022-06-03,0.3200,0.1226,0.2000,0.5486,0.2720,0.7968
2022-06-25,0.3395,0.1718,0.2416,-3.2939,0.2564,0.7163
2022-06-28,0.6109,0.1967,0.4223,2.2980,0.5437,0.6954
2022-07-03,0.2737,0.1693,0.1886,-0.2465,0.2053,0.7274
2022-07-05,0.6182,0.1751,0.4263,2.5011,0.5490,0.7299
2022-07-08,0.6174,0.2009,0.4362,2.4336,0.5545,0.6949
2022-07-10,0.3770,0.1728,0.2794,0.6028,0.2896,0.7178
2022-07-15,0.6932,0.2396,0.4771,2.2793,0.6085,0.6660
2022-07-23,0.5382,0.2385,0.3937,2.6804,0.4706,0.6357
2022-07-25,0.5928,0.2109,0.4238,4.0119,0.5112,0.6762
2022-07-28,0.6590,0.2465,0.4751,2.2584,0.5930,0.6358
2022-08-07,0.5941,0.2630,0.4126,2.2946,0.5048,0.6207
2022-08-09,0.6380,0.2072,0.4219,2.0358,0.5643,0.7139
2022-08-12,0.6410,0.2236,0.4294,1.9571,0.5749,0.6798
2022-08-14,0.1992,0.1743,0.1386,-0.5300,0.1192,0.7123
2022-08-17,0.5583,0.2451,0.3842,3.7592,0.4820,0.6397
2022-08-19,0.5652,0.2023,0.3733,2.0812,0.5058,0.6961
2022-08-22,0.3357,0.1555,0.2169,0.6961,0.2782,0.7434
2022-08-24,0.4907,0.1880,0.3316,3.2864,0.4147,0.7138
2022-09-06,0.4389,0.1822,0.2953,1.7904,0.4002,0.7020
2022-09-28,0.4123,0.0845,0.2517,1.8570,0.3867,0.8635
2022-10-16,0.4779,0.0701,0.3103,1.8051,0.4601,0.9060
2022-10-21,0.4296,0.0435,0.2656,1.6993,0.4113,0.9581
2022-10-23,0.3862,0.0479,0.2398,2.8286,0.3623,0.9424
2022-10-31,0.3554,0.0693,0.2196,2.2262,0.3201,0.8922
2022-11-15,0.1616,0.1508,0.0945,-0.5411,0.1084,0.7517
2022-11-22,0.4818,0.0949,0.2924,2.0166,0.4410,0.8521
2022-12-05,-0.0184,0.2007,-0.0072,0.0367,-0.0648,0.6710
2022-12-17,0.5228,0.1490,0.3362,1.4292,0.4946,0.7661
2022-12-22,0.3656,0.1560,0.2418,1.7051,0.3017,0.7455
2023-01-06,0.4621,0.1345,0.2995,1.9840,0.4243,0.7896
2023-01-09,0.0585,0.0896,0.0315,-0.2295,0.0329,0.8387
2023-01-19,0.4241,0.1539,0.2901,1.8203,0.4033,0.7584
2023-01-29,0.4476,0.1478,0.3093,1.7335,0.4306,0.7732
2023-01-31,0.3492,0.1432,0.2384,4.1281,0.3087,0.7727
2023-02-03,0.2648,0.1763,0.1912,-5.4446,0.2221,0.7164
2023-02-25,0.1037,0.2473,0.0601,-0.2604,0.0311,0.6086
2023-03-05,0.4288,0.1821,0.2999,3.8951,0.3750,0.7280
2023-03-15,0.0985,0.1508,0.0646,-0.2546,0.0361,0.7421
2023-03-27,0.5105,0.1934,0.3183,1.3931,0.4652,0.7679
2023-03-30,0.1641,0.2383,0.1087,-0.7102,0.1001,0.6302
2023-04-01,0.5026,0.1958,0.3355,3.5724,0.4354,0.7082
2023-04-04,0.4854,0.2047,0.3400,2.1977,0.4307,0.6864
2023-04-06,0.4405,0.2088,0.3001,1.2160,0.4130,0.6708
2023-04-09,0.4979,0.2043,0.3307,2.0006,0.4497,0.6886
2023-04-11,0.5187,0.1862,0.3396,2.4456,0.4605,0.7178
2023-04-19,0.4928,0.1800,0.3014,2.2547,0.4332,0.7174
2023-04-26,0.0997,0.1047,0.0506,-0.2702,0.0415,0.8127
2023-04-29,0.4999,0.1730,0.3049,1.4582,0.4723,0.7263
2023-05-01,0.1381,0.2203,0.0645,-0.4058,0.0968,0.6411
2023-05-04,0.4375,0.1040,0.2719,1.7808,0.4273,0.8379
2023-05-16,0.4110,0.0765,0.2448,1.4217,0.3969,0.9062
2023-05-19,0.2451,0.1308,0.1541,0.2185,0.2032,0.7828
2023-05-29,0.3442,0.1292,0.2144,1.8008,0.2917,0.7886
2023-05-31,0.3000,0.1588,0.1943,0.1569,0.2176,0.7468
2023-06-05,-0.0767,0.2211,-0.1014,0.1250,-0.1299,0.6383
2023-06-10,0.3871,0.2105,0.2543,1.5490,0.3402,0.6613
2023-06-18,0.3526,0.1431,0.2318,1.3427,0.2798,0.7674
2023-06-23,0.4540,0.1754,0.3172,4.1443,0.3755,0.7236
2023-06-25,0.3240,0.1598,0.2356,-1.6560,0.2320,0.7378
2023-07-05,0.6310,0.1800,0.4343,2.1158,0.5602,0.7244
2023-07-08,0.6033,0.1952,0.4353,2.7784,0.5378,0.7014
2023-07-10,0.5562,0.1832,0.4026,3.8101,0.4796,0.7157
2023-07-18,0.5795,0.2231,0.4136,2.6763,0.5118,0.6609
2023-07-23,0.5896,0.2346,0.4282,3.3972,0.5161,0.6460
2023-07-28,0.6704,0.2403,0.4719,2.0934,0.5957,0.6521
2023-07-30,0.5944,0.1863,0.4169,3.2674,0.5238,0.7053
2023-08-02,0.0271,0.1701,-0.0204,-0.0701,-0.0164,0.7107
2023-08-07,0.5957,0.2620,0.4129,2.4656,0.5112,0.6172
2023-08-09,0.4026,0.2304,0.2821,-0.0046,0.3188,0.6421
2023-08-14,0.6484,0.2365,0.4271,2.1487,0.5636,0.6569
2023-08-22,0.4160,0.2622,0.2941,1.4180,0.3307,0.6090
2023-08-27,0.6643,0.2575,0.4488,2.2446,0.5857,0.6251
2023-09-03,0.6307,0.2090,0.3970,1.8855,0.5605,0.6951
2023-09-03,0.6173,0.2066,0.3959,2.0771,0.5453,0.6901
2023-09-06,0.1046,0.2121,0.0655,-0.1703,0.0086,0.6529
2023-09-13,0.5147,0.1873,0.3040,1.8633,0.4430,0.7149
2023-09-13,0.4916,0.1797,0.3016,1.8378,0.4171,0.7191
2023-09-21,0.5436,0.1090,0.3371,1.8822,0.5004,0.8481
2023-10-21,0.3417,0.0839,0.2178,1.9756,0.3020,0.8802
2023-10-28,0.2737,0.0932,0.1584,0.7144,0.2268,0.8664
2023-11-05,0.4437,0.0504,0.2773,1.5264,0.4305,0.9488
2023-11-07,0.4267,0.0480,0.2611,1.8832,0.4087,0.9502
2023-11-22,0.0346,0.4663,-0.0072,-0.0937,-0.0093,0.3646
2023-11-27,0.1688,0.0920,0.0883,-0.6722,0.1297,0.8363
2023-12-07,0.1434,0.1335,0.0795,-1.4789,0.1051,0.7712
2023-12-22,0.1605,0.1406,0.1100,-1.1480,0.1201,0.7590
2023-12-27,0.2995,0.1945,0.2022,-4.5233,0.2426,0.6849
2023-12-30,0.2765,0.2204,0.1944,-4.4967,0.2241,0.6492
2024-01-09,0.4295,0.1902,0.3015,3.6853,0.3814,0.7037
2024-02-10,0.4982,0.2041,0.3464,2.7916,0.4508,0.6985
2024-02-13,0.4662,0.2056,0.3311,3.1929,0.4151,0.6925
2024-02-15,0.5672,0.1904,0.3880,1.9443,0.5302,0.7346
2024-02-18,0.4997,0.2154,0.3606,2.8841,0.4552,0.6783
2024-02-20,0.0746,0.1866,0.0357,-0.0233,0.0021,0.6889
2024-02-25,,,,,,
2024-03-11,0.5533,0.2242,0.3797,2.0178,0.5083,0.6763
2024-03-14,0.4914,0.1864,0.3415,2.2917,0.4554,0.7194
2024-03-21,0.5375,0.2070,0.3712,1.9951,0.4993,0.6982
2024-03-24,0.0724,0.2420,0.0540,-0.1225,-0.0211,0.6158
2024-03-29,0.5802,0.2456,0.4089,2.3037,0.5267,0.6499
2024-04-10,0.4394,0.2337,0.2916,2.0080,0.3591,0.6513
2024-04-13,0.5188,0.2409,0.3485,3.7161,0.4396,0.6382
2024-04-15,0.5542,0.2413,0.3576,2.5036,0.4801,0.6354
2024-04-25,,,,,,
2024-04-28,,,,,,
2024-05-13,0.4491,0.1137,0.2873,1.3684,0.4420,0.8293
2024-05-18,,,,,,
2024-05-20,0.4258,0.0945,0.2548,1.3255,0.4145,0.8616
2024-05-23,0.3302,0.1274,0.2107,3.8754,0.2839,0.7904
