date,temperature_2m_max,temperature_2m_min,precipitation_sum,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean
2024-04-18,23.700,18.000,12.700,8.710,9.900,86
2024-04-19,25.800,17.100,0.300,18.170,15.800,75
2024-04-20,22.200,16.300,6.600,5.090,13.800,80
2024-04-21,25.100,14.000,0.300,18.260,9.400,75
2024-04-22,25.300,16.700,12.600,17.890,9.700,77
2024-04-23,22.200,15.400,1.400,7.260,13.300,77
2024-04-24,24.200,13.200,1.300,17.660,12.500,76
2024-04-25,25.100,14.700,0.000,15.650,11.500,79
2024-04-26,26.300,14.800,0.200,16.250,9.400,76
2024-04-27,28.700,17.300,0.100,20.490,13.000,70
2024-04-28,29.300,17.900,7.700,17.460,15.900,75
2024-04-29,23.800,15.100,9.900,8.640,26.400,79
2024-04-30,22.200,14.400,0.100,17.200,15.900,59
2024-05-01,17.400,14.500,7.900,4.530,10.100,85
2024-05-02,17.300,13.900,3.100,4.670,10.100,87
2024-05-03,20.500,13.900,0.500,7.430,10.000,83
2024-05-04,24.400,14.700,1.500,17.710,13.900,74
2024-05-05,26.500,13.700,0.000,20.000,9.100,73
2024-05-06,26.800,16.200,2.600,18.580,7.900,75
2024-05-07,26.700,16.800,4.000,16.250,12.400,75
2024-05-08,21.300,17.700,9.900,4.960,11.800,87
2024-05-09,26.500,15.200,0.100,20.340,9.000,79
2024-05-10,25.500,17.400,2.500,14.880,9.400,84
2024-05-11,24.100,18.700,7.500,7.880,19.800,78
2024-05-12,26.400,18.100,0.000,15.400,14.400,69
2024-05-13,28.300,14.800,0.000,23.210,9.200,72
2024-05-14,29.600,15.900,0.300,20.290,9.500,68
2024-05-15,28.800,18.200,0.500,18.640,16.800,75
2024-05-16,29.900,17.900,1.000,19.660,10.400,70
2024-05-17,28.500,20.400,0.000,10.830,7.800,72
2024-05-18,29.500,19.700,3.800,18.150,12.200,74
2024-05-19,30.800,18.400,0.000,20.840,13.200,67
2024-05-20,30.900,17.800,0.000,22.010,12.600,66
2024-05-21,30.300,18.900,0.200,20.660,12.400,65
2024-05-22,31.200,19.700,0.500,21.090,9.000,65
2024-05-23,33.500,22.100,0.000,20.900,12.600,58
2024-05-24,35.500,23.200,0.000,21.740,14.700,56
2024-05-25,34.600,23.600,5.600,16.620,20.700,66
2024-05-26,34.800,23.000,0.100,21.330,14.300,58
2024-05-27,33.500,24.200,1.200,17.330,14.700,57
2024-05-28,27.600,22.300,14.200,9.400,14.200,83
2024-05-29,22.100,19.300,4.600,4.380,18.700,84
2024-05-30,29.300,19.500,0.000,22.000,19.500,55
2024-05-31,31.100,19.300,0.000,20.750,8.700,56
2024-06-01,27.800,21.700,0.300,7.790,12.900,61
2024-06-02,27.800,19.900,0.400,12.590,11.500,67
2024-06-03,24.600,20.100,0.200,7.820,14.000,77
2024-06-04,27.600,18.700,2.500,18.620,12.300,72
2024-06-05,28.100,18.000,0.000,16.030,9.700,73
2024-06-06,27.500,21.300,0.600,11.730,13.400,73
2024-06-07,25.500,19.100,1.200,7.630,9.500,81
2024-06-08,27.900,21.100,0.500,17.460,14.800,72
2024-06-09,27.600,19.000,0.000,11.600,7.400,72
2024-06-10,29.100,19.000,0.000,17.550,6.900,72
2024-06-11,31.300,22.000,1.900,22.700,10.600,63
2024-06-12,32.100,19.700,0.000,22.180,10.200,69
2024-06-13,34.000,23.800,0.000,20.840,9.700,59
2024-06-14,35.200,23.500,0.000,20.130,9.100,55
2024-06-15,35.600,23.600,1.100,15.500,5.800,52
2024-06-16,31.400,25.500,2.000,14.090,18.800,60
2024-06-17,33.500,22.500,0.000,17.670,13.000,57
2024-06-18,30.500,23.000,4.600,17.100,13.100,73
2024-06-19,30.600,22.700,14.000,20.500,15.600,81
2024-06-20,30.600,22.900,2.000,17.650,14.100,80
2024-06-21,29.800,23.500,0.500,11.220,13.700,79
2024-06-22,33.500,22.200,0.000,18.960,11.900,62
2024-06-23,30.900,21.700,0.000,13.120,9.800,68
2024-06-24,31.400,21.600,0.000,12.640,13.100,73
2024-06-25,30.300,18.900,0.900,21.650,8.900,73
2024-06-26,24.300,21.200,9.000,6.650,6.900,88
2024-06-27,27.200,19.600,6.700,13.920,8.900,86
2024-06-28,27.900,20.600,1.000,13.540,6.300,84
2024-06-29,30.000,20.800,0.100,14.260,9.700,82
2024-06-30,31.700,21.600,10.300,20.820,15.600,82
2024-07-01,30.000,22.500,46.300,21.530,20.900,77
2024-07-02,31.600,22.500,0.200,16.660,9.400,74
2024-07-03,29.100,22.000,2.000,18.580,10.800,81
2024-07-04,28.800,21.600,2.700,13.010,7.100,83
2024-07-05,31.300,22.200,2.500,20.670,9.200,80
2024-07-06,30.900,23.300,1.300,16.430,8.500,84
2024-07-07,31.900,24.600,4.100,17.060,16.400,84
2024-07-08,29.700,24.300,33.800,13.080,17.600,86
2024-07-09,26.800,23.800,44.900,3.880,12.600,92
2024-07-10,28.200,23.900,15.100,5.700,10.700,87
2024-07-11,31.600,21.900,0.300,20.920,10.100,80
2024-07-12,31.700,24.000,2.100,20.980,10.300,83
2024-07-13,28.700,24.100,10.600,13.010,14.100,88
2024-07-14,28.600,23.700,1.200,12.990,20.000,83
2024-07-15,30.600,23.100,1.000,16.700,14.600,84
2024-07-16,30.500,24.100,23.900,14.930,12.400,91
2024-07-17,28.700,24.200,48.800,11.330,17.400,91
2024-07-18,31.500,23.300,0.600,19.700,9.800,83
2024-07-19,30.700,23.600,4.400,15.040,10.800,88
2024-07-20,30.600,24.500,29.600,15.180,14.000,89
2024-07-21,29.900,24.500,17.200,13.730,9.900,91
2024-07-22,31.400,23.600,8.300,15.540,12.200,88
2024-07-23,30.900,24.100,19.400,15.650,13.000,91
2024-07-24,27.700,24.300,59.700,4.850,13.700,92
2024-07-25,31.300,24.500,0.000,15.330,10.600,80
2024-07-26,33.100,22.800,20.700,20.150,12.200,78
2024-07-27,30.900,24.800,11.300,9.050,14.300,80
2024-07-28,27.600,23.400,7.100,8.060,7.400,83
2024-07-29,29.700,22.100,0.000,9.730,13.000,83
2024-07-30,30.200,23.100,0.000,15.800,12.600,80
2024-07-31,31.900,22.600,0.000,22.010,7.700,83
2024-08-01,32.900,23.900,0.000,21.920,10.000,80
2024-08-02,32.600,24.500,2.900,19.580,15.100,82
2024-08-03,30.300,23.800,35.500,15.850,15.000,88
2024-08-04,30.900,23.900,4.800,17.420,10.000,85
2024-08-05,32.200,22.800,0.100,20.310,6.900,83
2024-08-06,32.000,24.500,6.400,19.810,13.700,84
2024-08-07,32.000,24.000,12.300,15.290,14.200,87
2024-08-08,32.500,24.300,2.600,17.960,11.700,85
2024-08-09,29.400,23.600,23.100,9.430,20.900,87
2024-08-10,30.400,22.800,10.100,13.040,17.700,80
2024-08-11,33.000,22.500,0.000,22.200,8.700,78
2024-08-12,33.200,21.400,0.000,22.280,8.300,78
2024-08-13,34.000,23.200,0.000,22.260,8.100,75
2024-08-14,33.900,22.900,0.000,20.510,9.700,70
2024-08-15,30.100,23.200,0.300,13.670,17.300,75
2024-08-16,30.500,23.400,0.000,12.750,8.300,74
2024-08-17,32.000,23.000,4.000,17.270,9.300,75
2024-08-18,31.700,22.900,0.100,19.410,9.800,79
2024-08-19,33.400,22.600,0.000,21.050,9.600,76
2024-08-20,33.700,23.900,0.600,18.490,12.300,72
2024-08-21,35.100,24.500,0.800,20.040,9.200,69
2024-08-22,36.700,26.500,0.100,19.620,14.400,63
2024-08-23,37.500,24.300,7.600,19.100,17.700,71
2024-08-24,37.700,24.800,0.000,20.110,15.600,70
2024-08-25,37.200,25.100,0.000,20.180,15.900,65
2024-08-26,37.200,25.600,0.400,19.770,15.000,61
2024-08-27,37.200,26.500,0.000,18.870,14.100,59
2024-08-28,37.100,27.700,0.200,19.300,18.800,56
2024-08-29,37.000,27.800,2.900,17.640,16.600,61
2024-08-30,34.200,25.700,3.900,16.440,13.800,74
2024-08-31,31.900,24.600,12.900,15.780,12.800,81
2024-09-01,33.300,24.000,17.500,19.450,12.300,78
2024-09-02,34.500,24.400,7.400,18.720,13.200,76
2024-09-03,32.900,23.700,8.700,16.830,12.300,84
2024-09-04,33.200,24.100,8.300,18.400,18.200,81
2024-09-05,32.500,22.800,7.100,18.900,16.600,73
2024-09-06,30.700,24.000,21.100,14.480,14.800,79
2024-09-07,31.000,22.800,4.900,15.130,10.000,82
2024-09-08,32.100,22.700,1.100,17.850,12.300,80
2024-09-09,30.400,23.100,47.800,15.350,20.000,84
2024-09-10,30.400,23.200,15.200,15.810,18.000,82
2024-09-11,28.400,21.900,16.000,14.030,13.500,86
2024-09-12,29.900,22.400,15.400,13.580,12.800,84
2024-09-13,28.800,23.000,16.500,13.830,14.300,85
2024-09-14,30.200,22.200,26.000,13.750,14.500,85
